Date,Open,High,Low,Close,Volume
2023-10-12T20:00:00Z,26712.91,26759.01,26706.84,26745.0,665.56202
2023-10-12T21:00:00Z,26744.99,26764.94,26710.32,26759.28,454.12688
2023-10-12T22:00:00Z,26759.28,26775.0,26731.41,26755.05,499.69713
2023-10-12T23:00:00Z,26755.05,26765.6,26706.44,26759.63,442.36289
2023-10-13T00:00:00Z,26759.63,26859.75,26750.0,26829.56,813.93197
2023-10-13T01:00:00Z,26829.56,26876.06,26789.49,26793.56,590.78163
2023-10-13T02:00:00Z,26793.57,26809.82,26786.27,26809.2,341.17841
2023-10-13T03:00:00Z,26809.2,26830.77,26768.7,26781.69,532.63657
2023-10-13T04:00:00Z,26781.69,26806.71,26773.84,26805.52,403.94113
2023-10-13T05:00:00Z,26805.51,26828.22,26781.97,26821.92,654.34281
2023-10-13T06:00:00Z,26821.92,26860.0,26802.44,26808.17,482.55678
2023-10-13T07:00:00Z,26808.18,26943.0,26808.17,26875.0,1133.08602
2023-10-13T08:00:00Z,26874.99,26903.94,26787.6,26796.02,1696.32662
2023-10-13T09:00:00Z,26796.01,26823.45,26737.4,26738.05,898.72226
2023-10-13T10:00:00Z,26738.05,26788.0,26738.05,26778.48,526.45463
2023-10-13T11:00:00Z,26778.48,26854.39,26778.47,26820.92,598.18792
2023-10-13T12:00:00Z,26820.91,26939.72,26764.72,26932.63,1502.77513
2023-10-13T13:00:00Z,26932.63,26966.85,26833.19,26855.63,1508.03183
2023-10-13T14:00:00Z,26855.64,26855.64,26734.65,26757.09,1106.64465
2023-10-13T15:00:00Z,26757.08,26784.27,26685.96,26706.83,1052.1432
2023-10-13T16:00:00Z,26706.83,26807.1,26701.38,26796.73,998.31275
2023-10-13T17:00:00Z,26796.73,26798.31,26685.0,26768.26,965.46099
2023-10-13T18:00:00Z,26768.26,26786.53,26730.29,26749.05,550.53192
2023-10-13T19:00:00Z,26749.04,26780.73,26723.0,26778.57,550.05858
